calories,distance,floors,heart,interval in seconds,newtime,nntime,rrmedfilt,steps,NNRR,AVNN,SDNN,RMSSD,pNN50,TP,ULF,VLF,LF,HF,LF_HF,HR
3.14474996695,0.00868636399336,0.0,75.3636363636,0.9405,9580.54545455,9580.54545455,917.818181818,12.4090909091,0.954545,0.935238,0.107958,0.11345,0.65,0.0108429,0.0108429,0.0,0.0,0.0,,75.3636363636
1.270499945,0.0,0.0,62.0,0.954545454545,30440.3181818,30440.3181818,881.227272727,0.0,0.954545,0.959143,0.190344,0.209514,0.65,0.0345975,0.0345975,0.0,0.0,0.0,,62.0
1.270499945,0.0,0.0,62.0,0.919818181818,51305.0,51305.0,909.318181818,0.0,0.954545,0.914667,0.0603725,0.0695963,0.4,0.00334207,0.00334207,0.0,0.0,0.0,,62.0
1.270499945,0.0,0.0,61.4545454545,0.913772727273,71285.7727273,71285.7727273,887.772727273,0.0,0.954545,0.911,0.111931,0.154049,0.4,0.0120204,0.0120204,0.0,0.0,0.0,,61.4545454545
1.270499945,0.0,0.0,58.0,0.987571428571,92105.2857143,92105.2857143,969.666666667,0.0,0.952381,0.98935,0.13487,0.131005,0.631579,0.0174458,0.0174458,0.0,0.0,0.0,,58.0
1.270499945,0.0,0.0,58.0,1.06710526316,112608.578947,112608.578947,1045.15789474,0.0,0.947368,1.05511,0.115688,0.142263,0.588235,0.0125097,0.0125097,0.0,0.0,0.0,,58.0
1.2473999502,0.0,0.0,58.0,1.0386,132993.3,132993.3,976.85,0.0,0.95,1.03195,0.17252,0.191617,0.833333,0.0283548,0.0283548,0.0,0.0,0.0,,58.0
1.154999971,0.0,0.0,58.0,1.06473684211,153451.947368,153451.947368,1035.36842105,0.0,0.947368,1.06028,0.122041,0.160403,0.588235,0.0130466,0.0130466,0.0,0.0,0.0,,58.0
1.154999971,0.0,0.0,58.0,1.05563157895,173350.578947,173350.578947,969.684210526,0.0,0.947368,1.04894,0.202597,0.250519,0.647059,0.0393398,0.0393398,0.0,0.0,0.0,,58.0
1.185394701,0.0,0.0,56.6842105263,1.09731578947,193959.315789,193959.315789,1058.89473684,0.0,0.947368,1.09933,0.205692,0.283062,0.823529,0.0419399,0.0419399,0.0,0.0,0.0,,56.6842105263
1.270499945,0.0,0.0,53.0,1.01945,215023.35,215023.35,1018.85,0.0,0.95,1.01116,0.161767,0.157968,0.777778,0.0250833,0.0250833,0.0,0.0,0.0,,53.0
1.270499945,0.0,0.0,53.0,1.0397,235323.4,235323.4,1013.55,0.0,0.95,1.02468,0.113504,0.125136,0.611111,0.0125695,0.0125695,0.0,0.0,0.0,,53.0
1.270499945,0.0,0.0,54.05,1.027,255876.75,255876.75,1020.5,0.0,0.95,1.02547,0.147906,0.16296,0.666667,0.0206971,0.0206971,0.0,0.0,0.0,,54.05
1.270499945,0.0,0.0,56.0,0.992333333333,276735.142857,276735.142857,960.904761905,0.0,0.952381,0.99495,0.145458,0.167991,0.684211,0.0213244,0.0213244,0.0,0.0,0.0,,56.0
1.270499945,0.0,0.0,58.0454545455,0.924045454545,297398.272727,297398.272727,890.318181818,0.0,0.954545,0.925048,0.187738,0.210112,0.7,0.033195,0.033195,0.0,0.0,0.0,,58.0454545455
1.270499945,0.0,0.0,59.0,0.743592592593,316837.037037,316837.037037,745.37037037,0.0,0.962963,0.738692,0.0952826,0.0336024,0.08,0.00876238,0.00876238,0.0,0.0,0.0,,59.0
3.08296150469,0.0110769231692,0.0,63.6153846154,0.791884615385,337795.653846,337795.653846,791.192307692,15.6923076923,0.961538,0.78716,0.0557828,0.0360561,0.208333,0.00292834,0.00292834,0.0,0.0,0.0,,63.6153846154
3.233999968,0.0120000001,0.0,64.0,0.760925925926,358105.333333,358105.333333,759.444444444,17.0,0.962963,0.759,0.0647981,0.0450271,0.2,0.00382648,0.00382648,0.0,0.0,0.0,,64.0
3.233999968,0.0120000001,0.0,64.0,0.790384615385,378404.538462,378404.538462,780.961538462,17.0,0.961538,0.79556,0.0821097,0.0583767,0.375,0.00654997,0.00654997,0.0,0.0,0.0,,64.0
4.12246152954,0.0289230769365,0.0,73.6153846154,0.770923076923,399290.384615,399290.384615,768.192307692,41.0384615385,0.961538,0.77084,0.0700355,0.0392152,0.166667,0.0046148,0.0046148,0.0,0.0,0.0,,73.6153846154
4.157999992,0.02960000001,0.0,74.0,0.739785714286,419254.071429,419254.071429,737.0,42.0,0.964286,0.742074,0.0361332,0.0363239,0.192308,0.00125991,0.00125991,0.0,0.0,0.0,,74.0
4.11674999304,0.0286928571471,0.0,74.0714285714,0.718071428571,439820.642857,439820.642857,717.571428571,40.7142857143,0.964286,0.718111,0.045176,0.030867,0.0384615,0.00196231,0.00196231,0.0,0.0,0.0,,74.0714285714
3.003000021,0.00419999985,0.0,76.0,0.788461538462,459755.884615,459755.884615,789.230769231,6.0,0.961538,0.7906,0.0729218,0.041926,0.166667,0.00507056,0.00507056,0.0,0.0,0.0,,76.0
3.003000021,0.00419999985,0.0,76.0,0.750518518519,480236.296296,480236.296296,742.37037037,6.0,0.962963,0.751769,0.0545199,0.0439582,0.16,0.00269577,0.00269577,0.0,0.0,0.0,,76.0
3.20628003124,0.0091119998876,0.0,76.48,0.803,500643.92,500643.92,800.28,12.96,0.96,0.807125,0.104862,0.0769715,0.217391,0.0103949,0.0103949,0.0,0.0,0.0,,76.48
5.544000149,0.06560000032,0.0,82.0,0.788961538462,521242.076923,521242.076923,787.653846154,93.0,0.961538,0.78956,0.0868279,0.045655,0.333333,0.00720438,0.00720438,0.0,0.0,0.0,,82.0
5.544000149,0.06560000032,0.0,82.0,0.674566666667,540975.733333,540975.733333,672.4,93.0,0.966667,0.675483,0.0356116,0.0191619,0.0,0.00125772,0.00125772,0.0,0.0,0.0,,82.0
5.78296566034,0.0661896554541,0.0,83.7586206897,0.691448275862,561595.413793,561595.413793,691.034482759,93.8275862069,0.965517,0.69025,0.0373726,0.0205047,0.0,0.00135482,0.00135482,0.0,0.0,0.0,,83.7586206897
7.854000092,0.07129999995,0.0,99.0,0.658516129032,581778.806452,581778.806452,657.709677419,101.0,0.967742,0.658733,0.0303973,0.0147403,0.0,0.000905621,0.000905621,0.0,0.0,0.0,,99.0
