calories,distance,floors,heart,interval in seconds,newtime,nntime,rrmedfilt,steps,NNRR,AVNN,SDNN,RMSSD,pNN50,TP,ULF,VLF,LF,HF,LF_HF,HR
1.515020013,0.0,0.0,74.0,0.885347826087,9274.82608696,9274.82608696,881.869565217,0.0,0.956522,0.895909,0.106852,0.0636404,0.619048,0.0115605,0.0115605,0.0,0.0,0.0,,74.0
1.515020013,0.0,0.0,74.0,1.0101,30356.9,30356.9,1014.05,0.0,0.95,1.01274,0.0717533,0.0878057,0.555556,0.00441424,0.00441424,0.0,0.0,0.0,,74.0
1.398480018,0.0,0.0,70.0,0.968619047619,50521.2380952,50521.2380952,980.142857143,0.0,0.952381,0.97285,0.0526331,0.0693568,0.526316,0.00263587,0.00263587,0.0,0.0,0.0,,70.0
1.165400028,0.0,0.0,62.0,0.968380952381,71072.8571429,71072.8571429,956.238095238,0.0,0.952381,0.9691,0.101905,0.103042,0.578947,0.0101804,0.0101804,0.0,0.0,0.0,,62.0
1.165400028,0.0,0.0,62.0,0.937909090909,91190.5909091,91190.5909091,946.681818182,0.0,0.954545,0.941857,0.047802,0.0637032,0.45,0.00215904,0.00215904,0.0,0.0,0.0,,62.0
1.165400028,0.0,0.0,62.4090909091,0.945454545455,112031.409091,112031.409091,954.136363636,0.0,0.954545,0.944048,0.0606947,0.0775722,0.7,0.00335843,0.00335843,0.0,0.0,0.0,,62.4090909091
1.165400028,0.0,0.0,63.0,0.938272727273,132897.045455,132897.045455,948.272727273,0.0,0.954545,0.93719,0.0572054,0.0727839,0.65,0.00295704,0.00295704,0.0,0.0,0.0,,63.0
1.165400028,0.0,0.0,63.0,0.956333333333,153244.857143,153244.857143,962.80952381,0.0,0.952381,0.9595,0.0694493,0.0920978,0.684211,0.00438158,0.00438158,0.0,0.0,0.0,,63.0
1.165400028,0.0,0.0,63.0,0.947636363636,173793.272727,173793.272727,951.590909091,0.0,0.954545,0.947143,0.0662339,0.0839845,0.7,0.00418902,0.00418902,0.0,0.0,0.0,,63.0
1.165400028,0.0,0.0,63.0,0.946727272727,194586.909091,194586.909091,944.454545455,0.0,0.954545,0.945429,0.0429565,0.0633329,0.45,0.00170435,0.00170435,0.0,0.0,0.0,,63.0
1.165400028,0.0,0.0,63.0,0.956142857143,214957.904762,214957.904762,965.095238095,0.0,0.952381,0.95975,0.0356915,0.0558061,0.421053,0.00124226,0.00124226,0.0,0.0,0.0,,63.0
1.165400028,0.0,0.0,61.9090909091,0.9395,235148.5,235148.5,944.090909091,0.0,0.954545,0.943524,0.0448081,0.0426585,0.25,0.00200362,0.00200362,0.0,0.0,0.0,,61.9090909091
1.165400028,0.0,0.0,61.0,0.996095238095,256192.428571,256192.428571,997.904761905,0.0,0.952381,0.9949,0.0486468,0.0644773,0.631579,0.00222348,0.00222348,0.0,0.0,0.0,,61.0
1.165400028,0.0,0.0,61.0,1.0036,276590.7,276590.7,1001.1,0.0,0.95,1.00247,0.0383092,0.0573508,0.333333,0.0013255,0.0013255,0.0,0.0,0.0,,61.0
2.56387996667,0.01080000028,0.0,63.0,0.985619047619,296915.285714,296915.285714,986.333333333,15.3333333333,0.952381,0.98525,0.0467973,0.0456128,0.105263,0.00203281,0.00203281,0.0,0.0,0.0,,63.0
3.263119936,0.01620000042,0.0,64.0,0.696068965517,318253.896552,318253.896552,713.896551724,23.0,0.965517,0.688571,0.155953,0.115386,0.296296,0.0274604,0.0274604,0.0,0.0,0.0,,64.0
3.263119936,0.01620000042,0.0,64.0,0.63821875,337639.0,337639.0,667.15625,23.0,0.96875,0.638839,0.113279,0.123606,0.3,0.0174415,0.0174415,0.0,0.0,0.0,,64.0
3.75935475271,0.0181870964632,0.0,76.7741935484,0.684548387097,358434.935484,358434.935484,652.193548387,25.8387096774,0.967742,0.696533,0.356083,0.5184,0.448276,0.10617,0.10617,0.0,0.0,0.0,,76.7741935484
3.962359905,0.01899999939,0.0,82.0,0.63828125,378953.875,378953.875,656.8125,27.0,0.96875,0.637097,0.0899312,0.0988391,0.1,0.00881189,0.00881189,0.0,0.0,0.0,,82.0
3.962359905,0.01899999939,0.0,82.0,0.674033333333,399478.466667,399478.466667,677.333333333,27.0,0.966667,0.683414,0.0527728,0.0686021,0.142857,0.00247202,0.00247202,0.0,0.0,0.0,,82.0
4.4920873353,0.0682424232385,0.0,85.0303030303,0.622121212121,419315.818182,419315.818182,623.121212121,96.696969697,0.969697,0.621719,0.139582,0.132249,0.258065,0.024048,0.024048,0.0,0.0,0.0,,85.0303030303
4.661600113,0.08399999887,0.0,86.0,0.705344827586,440589.827586,440589.827586,703.172413793,119.0,0.965517,0.703571,0.0344797,0.0257394,0.037037,0.00111243,0.00111243,0.0,0.0,0.0,,86.0
4.661600113,0.08399999887,0.0,86.0,0.709862068966,461048.586207,461048.586207,709.413793103,119.0,0.965517,0.711286,0.0434842,0.0328797,0.148148,0.00171702,0.00171702,0.0,0.0,0.0,,86.0
7.80817973239,0.0876580669048,0.0,86.0,0.658903225806,481581.0,481581.0,697.193548387,124.225806452,0.967742,0.655,0.13106,0.155596,0.310345,0.0204589,0.0204589,0.0,0.0,0.0,,86.0
8.274339676,0.08820000291,0.0,86.0,0.6374375,501751.25,501751.25,650.59375,125.0,0.96875,0.635161,0.0868244,0.110181,0.233333,0.00677431,0.00677431,0.0,0.0,0.0,,86.0
8.274339676,0.08820000291,0.0,86.0,0.63090625,522376.9375,522376.9375,648.84375,125.0,0.96875,0.630774,0.112113,0.134574,0.266667,0.0161959,0.0161959,0.0,0.0,0.0,,86.0
9.01117380245,0.139864518759,0.0,90.5161290323,0.654225806452,542058.322581,542058.322581,652.483870968,125.903225806,0.967742,0.6549,0.0567161,0.022171,0.0689655,0.0031055,0.0031055,0.0,0.0,0.0,,90.5161290323
9.090120316,0.1454000026,0.0,91.0,0.605029411765,563054.352941,563054.352941,621.941176471,126.0,0.970588,0.603697,0.0776279,0.0859773,0.0625,0.00934979,0.00934979,0.0,0.0,0.0,,91.0
9.090120316,0.1454000026,0.0,91.0,0.608757575758,583104.787879,583104.787879,608.939393939,126.0,0.969697,0.608656,0.042363,0.0696387,0.193548,0.00197792,0.00197792,0.0,0.0,0.0,,91.0
7.73401809442,0.0865393971891,0.0,91.9696969697,0.613878787879,603103.666667,603103.666667,613.878787879,120.181818182,0.969697,0.614781,0.054347,0.0832836,0.0967742,0.00346817,0.00346817,0.0,0.0,0.0,,91.9696969697
7.6916399,0.08470000327,0.0,92.0,0.621454545455,623402.969697,623402.969697,638.242424242,120.0,0.969697,0.622031,0.0866057,0.0829487,0.0967742,0.0113528,0.0113528,0.0,0.0,0.0,,92.0
7.6916399,0.08470000327,0.0,92.0,0.654806451613,644112.483871,644112.483871,652.612903226,120.0,0.967742,0.653633,0.0162661,0.0138962,0.0,0.000247428,0.000247428,0.0,0.0,0.0,,92.0
7.6916399,0.08399999887,0.0,92.0,0.658258064516,664397.806452,664397.806452,654.967741935,119.0,0.967742,0.658967,0.0267433,0.0237225,0.0344828,0.000688632,0.000688632,0.0,0.0,0.0,,92.0
7.6916399,0.08399999887,0.0,92.0,0.639,684892.125,684892.125,637.125,119.0,0.96875,0.638161,0.0153473,0.0177764,0.0,0.000223944,0.000223944,0.0,0.0,0.0,,92.0
7.6916399,0.08404666583,0.0,91.8,0.684266666667,705224.1,705224.1,685.166666667,119.066666667,0.966667,0.686828,0.0400572,0.0310075,0.0357143,0.00154106,0.00154106,0.0,0.0,0.0,,91.8
7.6916399,0.08470000327,0.0,89.0,0.6798,725956.266667,725956.266667,677.133333333,120.0,0.966667,0.677379,0.0346002,0.0257945,0.0357143,0.00111038,0.00111038,0.0,0.0,0.0,,89.0
7.6916399,0.08470000327,0.0,89.0,0.668466666667,746085.5,746085.5,667.833333333,120.0,0.966667,0.667552,0.0212848,0.019364,0.0714286,0.000422355,0.000422355,0.0,0.0,0.0,,89.0
7.6916399,0.08470000327,0.0,88.9,0.6668,766182.366667,766182.366667,666.166666667,120.0,0.966667,0.666103,0.0216108,0.0170849,0.0,0.000457594,0.000457594,0.0,0.0,0.0,,88.9
7.6916399,0.08470000327,0.0,88.0,0.6761,786175.7,786175.7,673.7,120.0,0.966667,0.677931,0.0294193,0.026419,0.0714286,0.000812232,0.000812232,0.0,0.0,0.0,,88.0
7.6916399,0.08470000327,0.0,88.0,0.700551724138,806602.310345,806602.310345,701.655172414,120.0,0.965517,0.70075,0.026349,0.0202722,0.0,0.00064741,0.00064741,0.0,0.0,0.0,,88.0
7.73048655167,0.0848166694267,0.0,87.8333333333,0.683533333333,826838.933333,826838.933333,683.6,120.166666667,0.966667,0.683552,0.0217676,0.0203742,0.0,0.000477622,0.000477622,0.0,0.0,0.0,,87.8333333333
