Time,steps,calories,floors,distance,heart
00:00:00,0,1.153599977,0,0,61
00:01:00,0,1.153599977,0,0,62
00:02:00,0,1.153599977,0,0,60
00:03:00,0,1.268959999,0,0,62
00:04:00,0,1.153599977,0,0,59
00:05:00,0,1.153599977,0,0,56
00:06:00,0,1.153599977,0,0,56
00:07:00,0,1.268959999,0,0,56
00:08:00,0,1.153599977,0,0,55
00:09:00,0,1.153599977,0,0,58
00:10:00,0,1.153599977,0,0,61
00:11:00,0,1.153599977,0,0,61
00:12:00,0,1.153599977,0,0,59
00:13:00,0,1.153599977,0,0,59
00:14:00,0,1.268959999,0,0,58
00:15:00,0,1.268959999,0,0,57
00:16:00,0,1.153599977,0,0,58
00:17:00,0,1.153599977,0,0,66
00:18:00,0,1.499680042,0,0,74
00:19:00,0,1.384320021,0,0,80
00:20:00,0,1.384320021,0,0,79
00:21:00,0,1.153599977,0,0,63
00:22:00,0,1.384320021,0,0,85
00:23:00,0,1.499680042,0,0,85
00:24:00,0,1.499680042,0,0,83
00:25:00,0,1.268959999,0,0,66
00:26:00,0,1.153599977,0,0,61
00:27:00,0,1.153599977,0,0,59
00:28:00,0,1.153599977,0,0,58
00:29:00,0,1.153599977,0,0,61
00:30:00,0,1.153599977,0,0,59
00:31:00,0,1.153599977,0,0,58
00:32:00,0,1.153599977,0,0,59
00:33:00,0,1.153599977,0,0,57
00:34:00,0,1.153599977,0,0,56
00:35:00,0,1.153599977,0,0,56
00:36:00,0,1.153599977,0,0,57
00:37:00,0,1.153599977,0,0,57
00:38:00,0,1.153599977,0,0,57
00:39:00,0,1.268959999,0,0,59
00:40:00,0,1.268959999,0,0,61
00:41:00,0,1.268959999,0,0,63
00:42:00,0,1.153599977,0,0,64
00:43:00,0,1.153599977,0,0,61
00:44:00,0,1.153599977,0,0,55
00:45:00,0,1.153599977,0,0,56
00:46:00,0,1.153599977,0,0,70
00:47:00,0,1.499680042,0,0,80
00:48:00,0,1.153599977,0,0,63
00:49:00,0,1.153599977,0,0,61
00:50:00,0,1.153599977,0,0,60
00:51:00,0,1.153599977,0,0,64
00:52:00,0,1.153599977,0,0,60
00:53:00,0,1.268959999,0,0,62
00:54:00,0,1.153599977,0,0,57
00:55:00,0,1.153599977,0,0,60
00:56:00,0,1.153599977,0,0,58
00:57:00,0,1.153599977,0,0,64
00:58:00,0,1.384320021,0,0,76
00:59:00,0,1.153599977,0,0,57
01:00:00,0,1.153599977,0,0,59
01:01:00,0,1.153599977,0,0,57
01:02:00,0,1.153599977,0,0,58
01:03:00,0,1.153599977,0,0,61
01:04:00,0,1.153599977,0,0,62
01:05:00,0,1.153599977,0,0,59
01:06:00,0,1.153599977,0,0,59
01:07:00,0,1.153599977,0,0,61
01:08:00,0,1.153599977,0,0,58
01:09:00,0,1.153599977,0,0,60
01:10:00,0,1.153599977,0,0,59
01:11:00,0,1.153599977,0,0,58
01:12:00,0,1.153599977,0,0,60
01:13:00,0,1.153599977,0,0,61
01:14:00,0,1.153599977,0,0,59
01:15:00,0,1.153599977,0,0,59
01:16:00,0,1.153599977,0,0,60
01:17:00,0,1.153599977,0,0,60
01:18:00,0,1.153599977,0,0,58
01:19:00,0,1.153599977,0,0,60
01:20:00,0,1.153599977,0,0,61
01:21:00,0,1.153599977,0,0,60
01:22:00,0,1.153599977,0,0,59
01:23:00,0,1.153599977,0,0,60
01:24:00,0,1.153599977,0,0,59
01:25:00,0,1.153599977,0,0,59
01:26:00,0,1.153599977,0,0,60
01:27:00,0,1.153599977,0,0,60
01:28:00,0,1.153599977,0,0,59
01:29:00,0,1.153599977,0,0,59
01:30:00,0,1.153599977,0,0,59
01:31:00,0,1.153599977,0,0,60
01:32:00,0,1.153599977,0,0,59
01:33:00,0,1.153599977,0,0,60
01:34:00,0,1.153599977,0,0,60
01:35:00,0,1.153599977,0,0,62
01:36:00,0,1.153599977,0,0,61
01:37:00,0,1.153599977,0,0,69
01:38:00,0,1.153599977,0,0,56
01:39:00,0,1.153599977,0,0,57
01:40:00,0,1.153599977,0,0,58
01:41:00,0,1.153599977,0,0,59
01:42:00,0,1.153599977,0,0,59
01:43:00,0,1.153599977,0,0,64
01:44:00,0,1.153599977,0,0,57
01:45:00,0,1.153599977,0,0,52
01:46:00,0,1.153599977,0,0,54
01:47:00,0,1.153599977,0,0,54
01:48:00,0,1.153599977,0,0,53
01:49:00,0,1.153599977,0,0,54
01:50:00,0,1.153599977,0,0,54
01:51:00,0,1.153599977,0,0,55
01:52:00,0,1.153599977,0,0,56
01:53:00,0,1.153599977,0,0,57
01:54:00,0,1.153599977,0,0,57
01:55:00,0,1.153599977,0,0,58
01:56:00,0,1.153599977,0,0,56
01:57:00,0,1.153599977,0,0,57
01:58:00,0,1.153599977,0,0,58
01:59:00,0,1.153599977,0,0,56
02:00:00,0,1.153599977,0,0,56
02:01:00,0,1.153599977,0,0,59
02:02:00,0,1.153599977,0,0,60
02:03:00,0,1.153599977,0,0,60
02:04:00,0,1.153599977,0,0,59
02:05:00,0,1.153599977,0,0,59
02:06:00,0,1.153599977,0,0,60
02:07:00,0,1.153599977,0,0,58
02:08:00,0,1.153599977,0,0,61
02:09:00,0,1.153599977,0,0,57
02:10:00,0,1.153599977,0,0,58
02:11:00,0,1.268959999,0,0,56
02:12:00,0,1.153599977,0,0,55
02:13:00,0,1.153599977,0,0,55
02:14:00,0,1.153599977,0,0,54
02:15:00,0,1.153599977,0,0,55
02:16:00,0,1.153599977,0,0,54
02:17:00,0,1.153599977,0,0,56
02:18:00,0,1.153599977,0,0,56
02:19:00,0,1.153599977,0,0,55
02:20:00,0,1.153599977,0,0,54
02:21:00,0,1.153599977,0,0,55
02:22:00,0,1.153599977,0,0,51
02:23:00,0,1.268959999,0,0,49
02:24:00,0,1.153599977,0,0,55
02:25:00,0,1.153599977,0,0,57
02:26:00,0,1.153599977,0,0,56
02:27:00,0,1.153599977,0,0,57
02:28:00,0,1.153599977,0,0,55
02:29:00,0,1.153599977,0,0,55
02:30:00,0,1.153599977,0,0,56
02:31:00,0,1.153599977,0,0,56
02:32:00,0,1.153599977,0,0,56
02:33:00,0,1.153599977,0,0,56
02:34:00,0,1.153599977,0,0,56
02:35:00,0,1.153599977,0,0,56
02:36:00,0,1.153599977,0,0,56
02:37:00,0,1.153599977,0,0,57
02:38:00,0,1.153599977,0,0,56
02:39:00,0,1.153599977,0,0,56
02:40:00,0,1.153599977,0,0,57
02:41:00,0,1.153599977,0,0,56
02:42:00,0,1.153599977,0,0,56
02:43:00,0,1.153599977,0,0,58
02:44:00,0,1.153599977,0,0,56
02:45:00,0,1.153599977,0,0,56
02:46:00,0,1.153599977,0,0,58
02:47:00,0,1.153599977,0,0,58
02:48:00,0,1.153599977,0,0,57
02:49:00,0,1.153599977,0,0,58
02:50:00,0,1.153599977,0,0,61
02:51:00,8,2.768640041,0,0.0055999998,66
02:52:00,0,1.153599977,0,0,53
02:53:00,0,1.153599977,0,0,51
02:54:00,0,1.153599977,0,0,53
02:55:00,0,1.153599977,0,0,52
02:56:00,0,1.153599977,0,0,54
02:57:00,0,1.153599977,0,0,54
02:58:00,0,1.153599977,0,0,54
02:59:00,0,1.153599977,0,0,55
03:00:00,0,1.153599977,0,0,55
03:01:00,0,1.153599977,0,0,55
03:02:00,0,1.153599977,0,0,55
03:03:00,0,1.153599977,0,0,56
03:04:00,0,1.153599977,0,0,56
03:05:00,0,1.153599977,0,0,56
03:06:00,0,1.153599977,0,0,57
03:07:00,0,1.153599977,0,0,56
03:08:00,0,1.153599977,0,0,56
03:09:00,0,1.153599977,0,0,56
03:10:00,0,1.153599977,0,0,55
03:11:00,0,1.153599977,0,0,55
03:12:00,0,1.153599977,0,0,55
03:13:00,0,1.153599977,0,0,54
03:14:00,0,1.153599977,0,0,50
03:15:00,0,1.153599977,0,0,51
03:16:00,0,1.153599977,0,0,55
03:17:00,0,1.153599977,0,0,56
03:18:00,0,1.153599977,0,0,56
03:19:00,0,1.153599977,0,0,55
03:20:00,0,1.153599977,0,0,56
03:21:00,0,1.153599977,0,0,57
03:22:00,0,1.153599977,0,0,68
03:23:00,0,1.153599977,0,0,64
03:24:00,0,1.153599977,0,0,67
03:25:00,0,1.153599977,0,0,66
03:26:00,0,1.153599977,0,0,65
03:27:00,0,1.153599977,0,0,63
03:28:00,0,1.153599977,0,0,60
03:29:00,0,1.153599977,0,0,67
03:30:00,0,1.153599977,0,0,67
03:31:00,0,1.153599977,0,0,64
03:32:00,0,1.153599977,0,0,67
03:33:00,0,1.153599977,0,0,63
03:34:00,0,1.153599977,0,0,65
03:35:00,0,1.384320021,0,0,72
03:36:00,0,1.384320021,0,0,77
03:37:00,0,1.153599977,0,0,69
03:38:00,0,1.153599977,0,0,67
03:39:00,0,1.153599977,0,0,66
03:40:00,0,1.153599977,0,0,65
03:41:00,0,1.153599977,0,0,65
03:42:00,5,2.768640041,0,0.003500000108,67
03:43:00,0,1.268959999,0,0,61
03:44:00,0,1.153599977,0,0,55
03:45:00,0,1.153599977,0,0,59
03:46:00,0,1.153599977,0,0,59
03:47:00,0,1.153599977,0,0,59
03:48:00,0,1.153599977,0,0,59
03:49:00,0,1.153599977,0,0,58
03:50:00,0,1.153599977,0,0,59
03:51:00,0,1.153599977,0,0,60
03:52:00,0,1.153599977,0,0,57
03:53:00,0,1.153599977,0,0,58
03:54:00,0,1.153599977,0,0,58
03:55:00,0,1.153599977,0,0,57
03:56:00,0,1.153599977,0,0,59
03:57:00,0,1.153599977,0,0,59
03:58:00,0,1.153599977,0,0,59
03:59:00,0,1.153599977,0,0,60
04:00:00,0,1.153599977,0,0,58
04:01:00,0,1.268959999,0,0,57
04:02:00,0,1.153599977,0,0,54
04:03:00,0,1.153599977,0,0,57
04:04:00,0,1.153599977,0,0,56
04:05:00,0,1.153599977,0,0,55
04:06:00,0,1.153599977,0,0,57
04:07:00,0,1.153599977,0,0,55
04:08:00,0,1.153599977,0,0,57
04:09:00,0,1.153599977,0,0,57
04:10:00,0,1.153599977,0,0,57
04:11:00,0,1.153599977,0,0,58
04:12:00,0,1.153599977,0,0,59
04:13:00,0,1.153599977,0,0,58
04:14:00,0,1.153599977,0,0,59
04:15:00,0,1.153599977,0,0,57
04:16:00,0,1.153599977,0,0,58
04:17:00,0,1.153599977,0,0,57
04:18:00,0,1.153599977,0,0,59
04:19:00,0,1.153599977,0,0,57
04:20:00,0,1.153599977,0,0,53
04:21:00,5,2.537919998,0,0.003500000108,60
04:22:00,0,1.153599977,0,0,59
04:23:00,0,1.153599977,0,0,56
04:24:00,0,1.268959999,0,0,58
04:25:00,0,1.153599977,0,0,54
04:26:00,0,1.153599977,0,0,56
04:27:00,0,1.153599977,0,0,56
04:28:00,0,1.153599977,0,0,56
04:29:00,0,1.153599977,0,0,57
04:30:00,0,1.153599977,0,0,57
04:31:00,0,1.153599977,0,0,55
04:32:00,0,1.153599977,0,0,57
04:33:00,0,1.153599977,0,0,56
04:34:00,0,1.153599977,0,0,57
04:35:00,0,1.153599977,0,0,58
04:36:00,0,1.153599977,0,0,56
04:37:00,0,1.153599977,0,0,58
04:38:00,0,1.153599977,0,0,57
04:39:00,0,1.153599977,0,0,59
04:40:00,0,1.153599977,0,0,59
04:41:00,0,1.153599977,0,0,61
04:42:00,0,1.153599977,0,0,61
04:43:00,0,1.153599977,0,0,59
04:44:00,0,1.153599977,0,0,56
04:45:00,0,1.153599977,0,0,58
04:46:00,0,1.153599977,0,0,58
04:47:00,0,1.153599977,0,0,59
04:48:00,0,1.153599977,0,0,60
04:49:00,0,1.153599977,0,0,59
04:50:00,0,1.153599977,0,0,59
04:51:00,0,1.268959999,0,0,55
04:52:00,0,1.153599977,0,0,57
04:53:00,0,1.153599977,0,0,58
04:54:00,0,1.153599977,0,0,59
04:55:00,0,1.153599977,0,0,56
04:56:00,0,1.153599977,0,0,58
04:57:00,0,1.153599977,0,0,59
04:58:00,0,1.153599977,0,0,58
04:59:00,0,1.153599977,0,0,58
05:00:00,0,1.153599977,0,0,58
05:01:00,0,1.153599977,0,0,61
05:02:00,0,1.153599977,0,0,60
05:03:00,0,1.153599977,0,0,60
05:04:00,0,1.153599977,0,0,61
05:05:00,0,1.153599977,0,0,62
05:06:00,0,1.153599977,0,0,60
05:07:00,0,1.153599977,0,0,60
05:08:00,0,1.153599977,0,0,60
05:09:00,0,1.153599977,0,0,61
05:10:00,0,1.153599977,0,0,59
05:11:00,0,1.153599977,0,0,60
05:12:00,0,1.153599977,0,0,57
05:13:00,0,1.153599977,0,0,61
05:14:00,0,1.153599977,0,0,60
05:15:00,0,1.153599977,0,0,60
05:16:00,0,1.153599977,0,0,62
05:17:00,0,1.153599977,0,0,63
05:18:00,0,1.153599977,0,0,61
05:19:00,0,1.153599977,0,0,62
05:20:00,0,1.153599977,0,0,60
05:21:00,0,1.153599977,0,0,60
05:22:00,0,1.153599977,0,0,60
05:23:00,0,1.153599977,0,0,61
05:24:00,0,1.268959999,0,0,61
05:25:00,7,2.768640041,0,0.004900000058,62
05:26:00,0,1.268959999,0,0,65
05:27:00,0,1.153599977,0,0,58
05:28:00,0,1.153599977,0,0,66
05:29:00,0,1.153599977,0,0,58
05:30:00,0,1.153599977,0,0,56
05:31:00,0,1.153599977,0,0,55
05:32:00,0,1.153599977,0,0,55
05:33:00,0,1.153599977,0,0,54
05:34:00,0,1.153599977,0,0,52
05:35:00,0,1.153599977,0,0,57
05:36:00,0,1.153599977,0,0,58
05:37:00,0,1.153599977,0,0,59
05:38:00,0,1.153599977,0,0,57
05:39:00,0,1.153599977,0,0,62
05:40:00,0,1.153599977,0,0,56
05:41:00,0,1.153599977,0,0,59
05:42:00,0,1.153599977,0,0,55
05:43:00,0,1.153599977,0,0,59
05:44:00,0,1.153599977,0,0,59
05:45:00,0,1.153599977,0,0,59
05:46:00,0,1.153599977,0,0,58
05:47:00,0,1.153599977,0,0,60
05:48:00,0,1.153599977,0,0,64
05:49:00,0,1.153599977,0,0,65
05:50:00,0,1.153599977,0,0,60
05:51:00,0,1.153599977,0,0,59
05:52:00,0,1.153599977,0,0,58
05:53:00,0,1.153599977,0,0,58
05:54:00,0,1.153599977,0,0,56
05:55:00,0,1.153599977,0,0,54
05:56:00,0,1.153599977,0,0,57
05:57:00,0,1.268959999,0,0,58
05:58:00,0,1.153599977,0,0,55
05:59:00,0,1.153599977,0,0,59
06:00:00,0,1.153599977,0,0,60
06:01:00,0,1.153599977,0,0,59
06:02:00,0,1.153599977,0,0,60
06:03:00,0,1.153599977,0,0,61
06:04:00,0,1.153599977,0,0,60
06:05:00,0,1.268959999,0,0,57
06:06:00,0,1.153599977,0,0,55
06:07:00,0,1.268959999,0,0,56
06:08:00,0,1.153599977,0,0,54
06:09:00,0,1.153599977,0,0,57
06:10:00,0,1.153599977,0,0,57
06:11:00,0,1.153599977,0,0,57
06:12:00,0,1.153599977,0,0,56
06:13:00,0,1.153599977,0,0,57
06:14:00,0,1.153599977,0,0,57
06:15:00,0,1.153599977,0,0,58
06:16:00,0,1.153599977,0,0,59
06:17:00,0,1.153599977,0,0,58
06:18:00,0,1.153599977,0,0,60
06:19:00,0,1.153599977,0,0,58
06:20:00,0,1.153599977,0,0,58
06:21:00,0,1.153599977,0,0,60
06:22:00,0,1.153599977,0,0,58
06:23:00,0,1.153599977,0,0,60
06:24:00,0,1.153599977,0,0,63
06:25:00,0,1.268959999,0,0,64
06:26:00,0,1.153599977,0,0,55
06:27:00,0,1.153599977,0,0,54
06:28:00,0,1.153599977,0,0,58
06:29:00,0,1.153599977,0,0,59
06:30:00,0,1.153599977,0,0,58
06:31:00,0,1.153599977,0,0,58
06:32:00,0,1.153599977,0,0,59
06:33:00,0,1.153599977,0,0,63
06:34:00,0,1.153599977,0,0,60
06:35:00,0,1.153599977,0,0,63
06:36:00,0,1.153599977,0,0,62
