calories,distance,floors,heart,interval in seconds,newtime,nntime,rrmedfilt,steps,NNRR,AVNN,SDNN,RMSSD,pNN50,TP,ULF,VLF,LF,HF,LF_HF,HR
1.26046113133,0.0,0.0,62.3333333333,0.942925925926,11926.3703704,11926.3703704,931.407407407,0.0,0.962963,0.941846,0.104229,0.104013,0.4,0.0116991,0.0116991,0.0,0.0,0.0,,62.3333333333
1.19873750175,0.0,0.0,60.75,0.956666666667,27722.2777778,27722.2777778,953.388888889,0.0,0.972222,0.960771,0.0880144,0.0832328,0.411765,0.00772159,0.00772159,0.0,0.0,0.0,,60.75
1.169499993,0.0,0.0,60.0,0.949189189189,48151.2972973,48151.2972973,942.216216216,0.0,0.972973,0.949556,0.0866571,0.0778486,0.457143,0.00734852,0.00734852,0.0,0.0,0.0,,60.0
1.169499993,0.0,0.0,60.4444444444,0.980805555556,68824.5277778,68824.5277778,971.638888889,0.0,0.972222,0.9814,0.0514748,0.0537962,0.352941,0.00253755,0.00253755,0.0,0.0,0.0,,60.4444444444
1.169499993,0.0,0.0,61.6111111111,0.980944444444,89413.3055556,89413.3055556,974.638888889,0.0,0.972222,0.979857,0.0526281,0.0508545,0.264706,0.00261755,0.00261755,0.0,0.0,0.0,,61.6111111111
1.169499993,0.0,0.0,62.0,0.940243243243,110053.918919,110053.918919,942.378378378,0.0,0.972973,0.941222,0.0635336,0.0383968,0.114286,0.00435842,0.00435842,0.0,0.0,0.0,,62.0
1.169499993,0.0,0.0,62.0,0.918567567568,130436.027027,130436.027027,919.351351351,0.0,0.972973,0.921611,0.0817688,0.061037,0.342857,0.00705253,0.00705253,0.0,0.0,0.0,,62.0
1.169499993,0.0,0.0,62.0,0.936945945946,150912.081081,150912.081081,935.162162162,0.0,0.972973,0.936778,0.0775294,0.0604897,0.342857,0.00636412,0.00636412,0.0,0.0,0.0,,62.0
1.169499993,0.0,0.0,62.0,0.970972222222,171404.277778,171404.277778,966.944444444,0.0,0.972222,0.970171,0.039017,0.0418643,0.235294,0.00146728,0.00146728,0.0,0.0,0.0,,62.0
1.169499993,0.0,0.0,61.7027027027,0.952459459459,191932.189189,191932.189189,951.324324324,0.0,0.972973,0.953556,0.077823,0.0631035,0.314286,0.00628557,0.00628557,0.0,0.0,0.0,,61.7027027027
