ECG,EMG,HR,RESP,Seconds,footGSR,handGSR,interval in seconds,marker,newtime,stress,time,NNRR,AVNN,SDNN,RMSSD,pNN50,TP,ULF,VLF,LF,HF,LF_HF
-0.001973684,-0.004736842,77.81578947,10.80184211,12.52968421,2.417131579,10.88944737,0.614631579,,12.52968421,0,12.52968421,0.973684,0.617297,0.0355863,0.0152033,0.0555556,0.00123818,0,0.000696253,0.00040651,0.000135413,3.002
0.002934783,-0.004456522,101.9782609,10.7506087,30.5035,2.417108696,11.25106522,0.647826087,,30.5035,0,30.5035,0.978261,0.647889,0.0135466,0.013858,0.0454545,0.000144089,0,9.19E-06,5.97E-05,7.52E-05,0.79371
0.006744681,-0.003425532,104.9574468,10.55723404,52.52302128,2.22687234,11.3796383,0.646382979,,52.52302128,0,52.52302128,0.978723,0.645,2.24E-08,0,0,,0,,,,
-0.004042553,-0.002531915,87.70212766,10.64012766,74.40217021,2.173021277,11.47082979,0.645,,74.40217021,0,74.40217021,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.012744681,-0.004425532,88.82978723,10.69931915,96.21961702,2.017106383,11.13525532,0.645,,96.21961702,0,96.21961702,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.027787234,-0.004957447,91.40425532,10.744,117.8036383,2.147361702,12.20234043,0.645,,117.8036383,0,117.8036383,0.978723,0.645,2.24E-08,0,0,,0,,,,
-0.010851064,-0.004680851,87.31914894,10.8212766,138.8880638,2.277297872,13.07574468,0.645,,138.8880638,0,138.8880638,0.978723,0.645,2.24E-08,0,0,,0,,,,
-0.005217391,-0.004130435,79.52173913,11.11321739,159.9087174,2.313347826,13.82806522,0.654891304,,159.9087174,0,159.9087174,0.978261,0.655111,0.0238244,0.00979912,0.0227273,0.000548335,0,0.000223003,0.000292113,3.32E-05,8.79347
-0.019386364,-0.003727273,88.02272727,10.93754545,181.1495227,2.273704545,13.60931818,0.698181818,,181.1495227,0,181.1495227,0.977273,0.699419,0.0242803,0.0100297,0.0238095,0.00053774,0,0.000237166,0.000270865,2.97E-05,9.11724
-0.065409091,-0.002409091,89.86363636,11.20472727,201.8240909,2.090181818,12.40863636,0.71,,201.8240909,0,201.8240909,0.977273,0.71,,0,0,,0,,,,
-0.000977273,-0.003045455,86.90909091,11.31190909,222.3651364,1.956545455,11.33038636,0.71,,222.3651364,0,222.3651364,0.977273,0.71,,0,0,,0,,,,
-0.003727273,-0.004068182,85.27272727,10.96772727,243.2771364,1.861090909,10.32493182,0.71,,243.2771364,0,243.2771364,0.977273,0.71,,0,0,,0,,,,
0.018227273,-0.003363636,81.65909091,10.75759091,265.3474773,1.780272727,9.395659091,0.699659091,,265.3474773,0,265.3474773,0.977273,0.699419,0.0242803,0.0200594,0.0952381,0.000516669,0,0.000149946,0.00029004,7.67E-05,3.78234
-0.005113636,-0.004272727,86.5,10.23259091,286.3651136,1.711477273,8.681909091,0.71,,286.3651136,0,286.3651136,0.977273,0.71,,0,0,,0,,,,
-0.004295455,-0.005681818,84.75,10.33322727,306.88125,1.6485,8.055863636,0.71,,306.88125,0,306.88125,0.977273,0.71,,0,0,,0,,,,
-0.005772727,-0.004136364,83.20454545,11.00304545,328.0982273,1.587954545,7.451431818,0.71,,328.0982273,0,328.0982273,0.977273,0.71,,0,0,,0,,,,
-0.049590909,-0.003386364,86.61363636,11.17968182,348.2051818,1.536340909,6.954045455,0.71,,348.2051818,0,348.2051818,0.977273,0.71,,0,0,,0,,,,
-0.026363636,-0.00225,86.27272727,11.24868182,367.956,1.490568182,6.540454545,0.71,,367.956,0,367.956,0.977273,0.71,,0,0,,0,,,,
-0.045454545,-0.004659091,86.29545455,11.33877273,388.0162273,1.447363636,6.197636364,0.71,,388.0162273,0,388.0162273,0.977273,0.71,,0,0,,0,,,,
